instId,instType,baseCcy,quoteCcy,settleCcy,minSz,lotSz,tickSz,last,vol24h,minOrderValueUSD
MASK-USD,SPOT,MASK,USD,,1,0.000001,0.001,1.235,93.019618,1.24
ME-USD,SPOT,ME,USD,,1,0.001,0.0001,0.7141,0,0.71
MEME-USD,SPOT,MEME,USD,,100,0.1,0.000001,0.002358,5071875.5,0.24
MEMEFI-USD,SPOT,MEMEFI,USD,,100,0.1,0.0000001,0.0017742,9345752.2,0.18
MENGO-USD,SPOT,MENGO,USD,,10,0.0001,0.00001,0.12782,15254.6541,1.28
MERL-USD,SPOT,MERL,USD,,10,0.001,0.00001,0.11139,24093.995,1.11
METIS-USD,SPOT,METIS,USD,,0.01,0.000001,0.01,16.57,7.958428,0.17
MEW-USD,SPOT,MEW,USD,,1000,1,0.000001,0.002893,0,2.89
MINA-USD,SPOT,MINA,USD,,1,0.000001,0.0001,0.1813,5878.418916,0.18
MKR-USD,SPOT,MKR,USD,,0.001,0.00000001,0.1,1636,2.74204928,1.64
MLN-USD,SPOT,MLN,USD,,0.1,0.000001,0.001,9.123,84.776923,0.91
MOODENG-USD,SPOT,MOODENG,USD,,10,0.01,0.00001,0.14662,3745.69,1.47
MORPHO-USD,SPOT,MORPHO,USD,,1,0.001,0.0001,2.0957,581.97,2.10
MOVR-USD,SPOT,MOVR,USD,,0.1,0.000001,0.001,6.374,247.794267,0.64
MOVE-USD,SPOT,MOVE,USD,,10,0.1,0.00001,0.12642,7591.4,1.26
NAVX-USD,SPOT,NAVX,USD,,10,0.01,0.00001,0.03819,13807.39,0.38
NC-USD,SPOT,NC,USD,,10,0.01,0.00001,0.01919,35417.13,0.19
NEAR-USD,SPOT,NEAR,USD,,1,0.00000001,0.001,2.475,4156.94898084,2.48
NEIRO-USD,SPOT,NEIRO,USD,,1000,1,0.0000001,0.0003606,3675133,0.36
NEO-USD,SPOT,NEO,USD,,0.1,0.000001,0.001,6.224,4741.680998,0.62
NMR-USD,SPOT,NMR,USD,,0.1,0.000001,0.001,8.172,193.10135,0.82
NOT-USD,SPOT,NOT,USD,,100,0.1,0.000001,0.001834,166493.7,0.18
OAS-USD,SPOT,OAS,USD,,100,0.01,0.00001,0.01141,50263.32,1.14
OL-USD,SPOT,OL,USD,,100,0.1,0.00001,0.03614,72244.3,3.61
OM-USD,SPOT,OM,USD,,1,0.000001,0.0001,0.2371,2199.076406,0.24
OMI-USD,SPOT,OMI,USD,,1000,0.001,0.0000001,0.000188,3411487.349,0.19
ONDO-USD,SPOT,ONDO,USD,,1,0.001,0.0001,0.931,133953.966,0.93
ONE-USD,SPOT,ONE,USD,,100,0.000001,0.000001,0.01035,367.980209,1.03
ONT-USD,SPOT,ONT,USD,,10,0.000001,0.0001,0.133,1010.999432,1.33
OP-USD,SPOT,OP,USD,,1,0.0001,0.0001,0.7079,13838.4453,0.71
ORBS-USD,SPOT,ORBS,USD,,100,0.000001,0.00001,0.01805,12294.52967,1.80
ORDI-USD,SPOT,ORDI,USD,,0.1,0.0001,0.001,8.641,50.6568,0.86
PARTI-USD,SPOT,PARTI,USD,,10,0.01,0.0001,0.1765,0,1.76
PENGU-USD,SPOT,PENGU,USD,,100,1,0.000001,0.029784,187800,2.98
PENDLE-USD,SPOT,PENDLE,USD,,1,0.001,0.001,5.259,516.615,5.26
PEOPLE-USD,SPOT,PEOPLE,USD,,100,0.000001,0.00001,0.01955,0,1.96
PEPE-USD,SPOT,PEPE,USD,,100000,1,0.000000001,0.000010421,887853993,1.04
PERP-USD,SPOT,PERP,USD,,1,0.000001,0.0001,0.2739,1150.867918,0.27
PHA-USD,SPOT,PHA,USD,,10,0.000001,0.00001,0.11638,53926.713228,1.16
PIXEL-USD,SPOT,PIXEL,USD,,10,0.01,0.00001,0.03286,0,0.33
PNUT-USD,SPOT,PNUT,USD,,1,0.01,0.0001,0.2162,1693.86,0.22
POL-USD,SPOT,POL,USD,,10,0.01,0.0001,0.2395,12838.7,2.40
POLYDOGE-USD,SPOT,POLYDOGE,USD,,100000000,1,0.000000000001,0.000000004746,431834108040,0.47
POR-USD,SPOT,POR,USD,,1,0.0001,0.0001,0.9357,2726.96,0.94
PRCL-USD,SPOT,PRCL,USD,,10,0.001,0.00001,0.08016,5242.514,0.80
PSTAKE-USD,SPOT,PSTAKE,USD,,100,0.000001,0.00001,0.03041,128396.111042,3.04
PUMP-USD,SPOT,PUMP,USD,,1000,1,0.000001,0.002998,2871310,3.00
PYTH-USD,SPOT,PYTH,USD,,10,0.001,0.00001,0.1172,10015.789,1.17
QTUM-USD,SPOT,QTUM,USD,,1,0.000001,0.001,2.071,711.484376,2.07
RACA-USD,SPOT,RACA,USD,,1000,0.001,0.00000001,0.00005579,31344579.336,0.06
RAY-USD,SPOT,RAY,USD,,1,0.000001,0.0001,3.2189,214.241963,3.22
RDNT-USD,SPOT,RDNT,USD,,10,0.001,0.00001,0.02224,0,0.22
RENDER-USD,SPOT,RENDER,USD,,1,0.001,0.001,3.587,567.31,3.59
RESOLV-USD,SPOT,RESOLV,USD,,10,0.01,0.0001,0.152,39854.35,1.52
RIO-USD,SPOT,RIO,USD,,1,0.000001,0.0001,0.279,21386.487207,0.28
RON-USD,SPOT,RON,USD,,1,0.000001,0.0001,0.5169,6604.573135,0.52
RPL-USD,SPOT,RPL,USD,,0.1,0.0001,0.001,7.066,0.9393,0.71
RSR-USD,SPOT,RSR,USD,,100,0.000001,0.000001,0.008368,42927.783082,0.84
RSS3-USD,SPOT,RSS3,USD,,10,0.000001,0.00001,0.04504,738873.3632,0.45
RVN-USD,SPOT,RVN,USD,,100,0.000001,0.00001,0.01353,0,1.35
S-USD,SPOT,S,USD,,1,0.001,0.0001,0.3098,8611.739,0.31
SAFE-USD,SPOT,SAFE,USD,,1,0.001,0.0001,0.4259,0,0.43
SAHARA-USD,SPOT,SAHARA,USD,,100,0.1,0.00001,0.08872,19392.2,8.87
SAND-USD,SPOT,SAND,USD,,10,0.000001,0.0001,0.2771,20397.509357,2.77
SATS-USD,SPOT,SATS,USD,,10000000,1,0.00000000001,0.00000003641,457726732,0.36
SC-USD,SPOT,SC,USD,,100,0.000001,0.000001,0.002962,680689.681206,0.30
SCR-USD,SPOT,SCR,USD,,1,0.001,0.0001,0.3604,1856.094,0.36
SD-USD,SPOT,SD,USD,,1,0.000001,0.0001,0.6886,3001.258194,0.69
SHIB-USD,SPOT,SHIB,USD,,100000,1,0.000000001,0.000012301,203879772,1.23
SKL-USD,SPOT,SKL,USD,,100,0.000001,0.00001,0.03058,48053.2174,3.06
SLP-USD,SPOT,SLP,USD,,100,0.000001,0.000001,0.001799,0,0.18
SNT-USD,SPOT,SNT,USD,,100,0.000001,0.00001,0.02637,13480.893543,2.64
SNX-USD,SPOT,SNX,USD,,1,0.000001,0.0001,0.6457,333.674599,0.65
SONIC-USD,SPOT,SONIC,USD,,10,0.01,0.00001,0.1968,2978.21,1.97
SOPH-USD,SPOT,SOPH,USD,,100,0.1,0.00001,0.0327,3087,3.27
SPK-USD,SPOT,SPK,USD,,100,0.1,0.00001,0.07615,90248.4,7.61
SPURS-USD,SPOT,SPURS,USD,,1,0.0001,0.0001,0.4634,0,0.46
SSV-USD,SPOT,SSV,USD,,0.1,0.0001,0.001,8.94,0,0.89
STETH-USD,SPOT,STETH,USD,,0.001,0.000001,0.01,4520.52,0,4.52
STORJ-USD,SPOT,STORJ,USD,,10,0.000001,0.0001,0.2613,0,2.61
STRK-USD,SPOT,STRK,USD,,1,0.0001,0.0001,0.1326,5810.2293,0.13
STX-USD,SPOT,STX,USD,,1,0.000001,0.0001,0.664,8702.034155,0.66
SUI-USD,SPOT,SUI,USD,,1,0.0001,0.0001,3.4858,3739.0981,3.49
SUSHI-USD,SPOT,SUSHI,USD,,1,0.000001,0.0001,0.7563,1047.811016,0.76
SWEAT-USD,SPOT,SWEAT,USD,,100,0.01,0.000001,0.002125,156658.17,0.21
SWFTC-USD,SPOT,SWFTC,USD,,100,0.000001,0.000001,0.010244,189601.670615,1.02
T-USD,SPOT,T,USD,,100,0.0001,0.00001,0.01665,0,1.67
THETA-USD,SPOT,THETA,USD,,1,0.000001,0.0001,0.7661,47298.174486,0.77
TIA-USD,SPOT,TIA,USD,,0.1,0.0001,0.001,1.694,2787.73,0.17
TNSR-USD,SPOT,TNSR,USD,,1,0.0001,0.0001,0.1206,815.1554,0.12
TRA-USD,SPOT,TRA,USD,,1,0.000001,0.0001,0.4619,3.270788,0.46
TRB-USD,SPOT,TRB,USD,,0.01,0.000001,0.01,35.44,31.395157,0.35
TRUMP-USD,SPOT,TRUMP,USD,,0.1,0.0001,0.001,8.79,715.5317,0.88
TRX-USD,SPOT,TRX,USD,,1,0.000001,0.00001,0.35142,33416.352182,0.35
TURBO-USD,SPOT,TURBO,USD,,1000,0.01,0.000001,0.004085,780346.37,4.08
ULTI-USD,SPOT,ULTI,USD,,100,0.1,0.000001,0.002118,176031.7,0.21
UMA-USD,SPOT,UMA,USD,,1,0.000001,0.001,1.408,5550.691107,1.41
UNI-USD,SPOT,UNI,USD,,0.1,0.000001,0.001,10.198,255.468677,1.02
USDT-USD,SPOT,USDT,USD,,1,0.0001,0.0001,1.0002,3290036.3592,1.00
UXLINK-USD,SPOT,UXLINK,USD,,10,0.01,0.0001,0.3261,0,3.26
VELODROME-USD,SPOT,VELODROME,USD,,10,0.0001,0.00001,0.05066,0,0.51
VELO-USD,SPOT,VELO,USD,,100,0.000001,0.000001,0.014986,179297.719787,1.50
VRA-USD,SPOT,VRA,USD,,100,0.000001,0.000001,0.001445,784765.016449,0.14
W-USD,SPOT,W,USD,,10,0.0001,0.00001,0.077,2699.3838,0.77
WAXP-USD,SPOT,WAXP,USD,,100,0.000001,0.00001,0.02052,8156.748524,2.05
WBTC-USD,SPOT,WBTC,USD,,0.0001,0.000001,0.1,115732.3,0,11.57
WCT-USD,SPOT,WCT,USD,,10,0.01,0.0001,0.2994,41.47,2.99
WIF-USD,SPOT,WIF,USD,,1,0.001,0.0001,0.8366,979.704,0.84
WIN-USD,SPOT,WIN,USD,,100000,1,0.00000001,0.0000601,0,6.01
WLD-USD,SPOT,WLD,USD,,1,0.001,0.0001,0.9186,774.523,0.92
XCH-USD,SPOT,XCH,USD,,0.1,0.000001,0.001,9.4,231.356853,0.94
XLM-USD,SPOT,XLM,USD,,10,0.000001,0.00001,0.3976,4475.119887,3.98
XTZ-USD,SPOT,XTZ,USD,,1,0.000001,0.0001,0.8076,0,0.81
YFI-USD,SPOT,YFI,USD,,0.0005,0.000001,1,5479,0.379139,2.74
YGG-USD,SPOT,YGG,USD,,10,0.000001,0.0001,0.1645,0,1.65
ZBCN-USD,SPOT,ZBCN,USD,,1000,1,0.0000001,0.0042735,2626448,4.27
ZENT-USD,SPOT,ZENT,USD,,100,0.1,0.000001,0.007422,11641.7,0.74
ZETA-USD,SPOT,ZETA,USD,,1,0.001,0.0001,0.183,108.382,0.18
ZEUS-USD,SPOT,ZEUS,USD,,10,0.0001,0.0001,0.1067,11477.4734,1.07
ZIL-USD,SPOT,ZIL,USD,,100,0.000001,0.00001,0.01083,2788.260858,1.08
ZK-USD,SPOT,ZK,USD,,10,0.01,0.00001,0.06134,2353.22,0.61
ZKJ-USD,SPOT,ZKJ,USD,,1,0.0001,0.0001,0.1923,19610.807,0.19
ZRO-USD,SPOT,ZRO,USD,,1,0.001,0.001,1.972,3177.939,1.97
ZRX-USD,SPOT,ZRX,USD,,10,0.000001,0.0001,0.2376,13.550135,2.38
BTC-USDT,SPOT,BTC,USDT,,0.00001,0.00000001,0.1,113787.9,5544.19157216,1.14
ETH-USDT,SPOT,ETH,USDT,,0.0001,0.000001,0.01,4206.4,267529.141133,0.42
OKB-USDT,SPOT,OKB,USDT,,0.1,0.000001,0.01,133.26,1277100.077293,13.33
SOL-USDT,SPOT,SOL,USDT,,0.001,0.000001,0.01,181.94,1063468.254184,0.18
TON-USDT,SPOT,TON,USDT,,0.1,0.0001,0.001,3.25,2834746.7047,0.33
DOGE-USDT,SPOT,DOGE,USDT,,10,0.000001,0.00001,0.21489,798548097.236338,2.15
XRP-USDT,SPOT,XRP,USDT,,1,0.000001,0.0001,2.9,37258305.069551,2.90
API3-USDT,SPOT,API3,USDT,,1,0.000001,0.0001,1.3527,17830689.742442,1.35
PI-USDT,SPOT,PI,USDT,,1,0.001,0.0001,0.3509,41918191.053,0.35
1INCH-USDT,SPOT,1INCH,USDT,,10,0.000001,0.0001,0.2485,5071923.600104,2.48
A-USDT,SPOT,A,USDT,,10,0.01,0.0001,0.4937,1914983.32,4.94
AAVE-USDT,SPOT,AAVE,USDT,,0.01,0.000001,0.01,288.09,16823.839572,2.88
ACA-USDT,SPOT,ACA,USDT,,10,0.000001,0.00001,0.0315,20504215.826555,0.32
ACE-USDT,SPOT,ACE,USDT,,1,0.0001,0.0001,0.5352,198289.3575,0.54
ACH-USDT,SPOT,ACH,USDT,,100,0.01,0.00001,0.02042,11936866.19,2.04
ACT-USDT,SPOT,ACT,USDT,,10,0.001,0.00001,0.03919,29970988.522,0.39
ADA-USDT,SPOT,ADA,USDT,,10,0.0001,0.0001,0.8615,72849288.3487,8.62
AERGO-USDT,SPOT,AERGO,USDT,,10,0.000001,0.00001,0.10838,1427296.019014,1.08
AEVO-USDT,SPOT,AEVO,USDT,,1,0.0001,0.00001,0.0948,3305880.9916,0.09
AGLD-USDT,SPOT,AGLD,USDT,,1,0.000001,0.0001,0.6863,526314.999747,0.69
AIDOGE-USDT,SPOT,AIDOGE,USDT,,10000000000,1,0.0000000000001,0.0000000001057,14680755241179210,1.06
AIXBT-USDT,SPOT,AIXBT,USDT,,1,0.001,0.00001,0.10871,6928136.625,0.11
ALGO-USDT,SPOT,ALGO,USDT,,10,0.000001,0.0001,0.2437,5740374.097177,2.44
ALPHA-USDT,SPOT,ALPHA,USDT,,10,0.000001,0.00001,0.01453,17788179.231982,0.15
ANIME-USDT,SPOT,ANIME,USDT,,10,0.01,0.00001,0.01646,25349115.09,0.16
APE-USDT,SPOT,APE,USDT,,1,0.000001,0.0001,0.599,1588710.470395,0.60
APT-USDT,SPOT,APT,USDT,,0.1,0.0001,0.001,4.372,1191040.2901,0.44
AR-USDT,SPOT,AR,USDT,,0.1,0.000001,0.001,6.845,218127.686006,0.68
ARB-USDT,SPOT,ARB,USDT,,1,0.0001,0.0001,0.488,24847028.4831,0.49
ARG-USDT,SPOT,ARG,USDT,,1,0.0001,0.0001,1.0121,45391.6145,1.01
ARKM-USDT,SPOT,ARKM,USDT,,1,0.001,0.0001,0.5081,734422.019,0.51
ASP-USDT,SPOT,ASP,USDT,,10,0.01,0.0001,0.1375,5832808.9,1.38
ASTR-USDT,SPOT,ASTR,USDT,,10,0.000001,0.00001,0.02385,5950114.978182,0.24
ATH-USDT,SPOT,ATH,USDT,,100,0.1,0.00001,0.03276,40216908,3.28
ATOM-USDT,SPOT,ATOM,USDT,,0.1,0.000001,0.001,4.372,184486.755309,0.44
AUCTION-USDT,SPOT,AUCTION,USDT,,0.1,0.000001,0.001,9.63,39762.417764,0.96
AVAX-USDT,SPOT,AVAX,USDT,,0.1,0.000001,0.001,22.97,314389.523637,2.30
AXS-USDT,SPOT,AXS,USDT,,0.1,0.000001,0.001,2.274,98220.699139,0.23
BABYDOGE-USDT,SPOT,BABYDOGE,USDT,,1000000000,1,0.000000000001,0.000000001226,304693190412495,1.23
BABY-USDT,SPOT,BABY,USDT,,100,0.1,0.00001,0.0514,6247846.3,5.14
BADGER-USDT,SPOT,BADGER,USDT,,1,0.000001,0.0001,0.9627,189568.611489,0.96
BAL-USDT,SPOT,BAL,USDT,,1,0.000001,0.0001,1.2818,167700.979061,1.28
BAND-USDT,SPOT,BAND,USDT,,1,0.000001,0.0001,0.7622,1737878.285455,0.76
BANANA-USDT,SPOT,BANANA,USDT,,0.1,0.0001,0.01,22.26,4107.7699,2.23
BAT-USDT,SPOT,BAT,USDT,,10,0.000001,0.0001,0.1501,2007151.081209,1.50
BCH-USDT,SPOT,BCH,USDT,,0.01,0.000001,0.1,551.8,6981.764152,5.52
BERA-USDT,SPOT,BERA,USDT,,0.1,0.001,0.001,2.151,721789.753,0.22
BETH-USDT,SPOT,BETH,USDT,,0.001,0.000001,0.1,4204.8,1489.204616,4.20
BICO-USDT,SPOT,BICO,USDT,,10,0.000001,0.00001,0.10599,2081915.302021,1.06
BIGTIME-USDT,SPOT,BIGTIME,USDT,,10,0.01,0.00001,0.05407,10213334.43,0.54
BIO-USDT,SPOT,BIO,USDT,,10,0.001,0.00001,0.16516,118567553.407,1.65
BLUR-USDT,SPOT,BLUR,USDT,,10,0.0001,0.00001,0.07719,4977984.68,0.77
BNB-USDT,SPOT,BNB,USDT,,0.001,0.000001,0.1,833.4,15743.742981,0.83
BNT-USDT,SPOT,BNT,USDT,,10,0.000001,0.0001,0.7672,130970.265743,7.67
BOME-USDT,SPOT,BOME,USDT,,1000,1,0.000001,0.001767,588449139,1.77
BONK-USDT,SPOT,BONK,USDT,,100000,1,0.000000001,0.000021618,193696969001,2.16
BTT-USDT,SPOT,BTT,USDT,,1000000,1,0.0000000001,0.0000006506,480443169459,0.65
CATI-USDT,SPOT,CATI,USDT,,10,0.01,0.00001,0.08749,4719366.99,0.87
CAT-USDT,SPOT,CAT,USDT,,100000,1,0.000000001,0.000007667,29549072343,0.77
CELO-USDT,SPOT,CELO,USDT,,10,0.000001,0.0001,0.3189,3346325.561247,3.19
CELR-USDT,SPOT,CELR,USDT,,100,0.000001,0.000001,0.008092,7713050.479247,0.81
CETUS-USDT,SPOT,CETUS,USDT,,10,0.0001,0.00001,0.09538,8134413.9085,0.95
CFG-USDT,SPOT,CFG,USDT,,10,0.000001,0.0001,0.2947,2587322.181726,2.95
CFX-USDT,SPOT,CFX,USDT,,10,0.000001,0.00001,0.17493,104914538.961215,1.75
CHZ-USDT,SPOT,CHZ,USDT,,10,0.000001,0.00001,0.03949,15043040.655182,0.39
CITY-USDT,SPOT,CITY,USDT,,1,0.0001,0.0001,1.0875,22360.4824,1.09
CLV-USDT,SPOT,CLV,USDT,,100,0.000001,0.00001,0.02066,12277645.177302,2.07
COMP-USDT,SPOT,COMP,USDT,,0.1,0.000001,0.01,46.04,15426.120407,4.60
CORE-USDT,SPOT,CORE,USDT,,1,0.01,0.0001,0.4779,4137173.34,0.48
CRO-USDT,SPOT,CRO,USDT,,10,0.000001,0.00001,0.14376,11598955.539555,1.44
CRV-USDT,SPOT,CRV,USDT,,1,0.000001,0.0001,0.8512,8103440.283283,0.85
CSPR-USDT,SPOT,CSPR,USDT,,100,0.000001,0.000001,0.01033,60801241.164191,1.03
CTC-USDT,SPOT,CTC,USDT,,1,0.000001,0.0001,0.7326,3890397.491002,0.73
CVC-USDT,SPOT,CVC,USDT,,10,0.000001,0.00001,0.09121,2851828.803389,0.91
CVX-USDT,SPOT,CVX,USDT,,1,0.000001,0.001,3.884,90024.944911,3.88
CXT-USDT,SPOT,CXT,USDT,,10,0.01,0.00001,0.02526,4283495.76,0.25
DAI-USDT,SPOT,DAI,USDT,,1,0.000001,0.0001,0.9998,1225670.428134,1.00
DAO-USDT,SPOT,DAO,USDT,,1,0.000001,0.0001,0.1176,297763.867779,0.12
DEGEN-USDT,SPOT,DEGEN,USDT,,100,1,0.000001,0.003506,91033513,0.35
DEP-USDT,SPOT,DEP,USDT,,100,0.00001,0.0000001,0.0015578,256652959.03872,0.16
DGB-USDT,SPOT,DGB,USDT,,100,0.000001,0.000001,0.008467,9876372.62145,0.85
DOGS-USDT,SPOT,DOGS,USDT,,1000,1,0.0000001,0.0001285,6793275751,0.13
DORA-USDT,SPOT,DORA,USDT,,10,0.01,0.00001,0.02022,22768366.46,0.20
DOT-USDT,SPOT,DOT,USDT,,0.1,0.000001,0.001,3.798,2666645.848217,0.38
DUCK-USDT,SPOT,DUCK,USDT,,100,0.1,0.000001,0.005525,240615618.4,0.55
DYDX-USDT,SPOT,DYDX,USDT,,1,0.000001,0.0001,0.6443,2862629.427904,0.64
EGLD-USDT,SPOT,EGLD,USDT,,0.1,0.000001,0.01,14.72,11584.271233,1.47
EIGEN-USDT,SPOT,EIGEN,USDT,,1,0.001,0.0001,1.3108,1727170.005,1.31
ELF-USDT,SPOT,ELF,USDT,,10,0.000001,0.0001,0.2054,362271.667255,2.05
ELON-USDT,SPOT,ELON,USDT,,5000000,1,0.0000000001,0.0000001068,1063245396765,0.53
ENJ-USDT,SPOT,ENJ,USDT,,10,0.001,0.00001,0.06792,2322759.124,0.68
ENS-USDT,SPOT,ENS,USDT,,0.1,0.000001,0.001,24.606,66967.008289,2.46
ERN-USDT,SPOT,ERN,USDT,,1,0.000001,0.0001,0.704,1280149.855839,0.70
ETC-USDT,SPOT,ETC,USDT,,0.1,0.000001,0.01,20.9,179193.699765,2.09
ETHW-USDT,SPOT,ETHW,USDT,,1,0.0001,0.001,1.567,217981.3054,1.57
ETHFI-USDT,SPOT,ETHFI,USDT,,1,0.0001,0.0001,1.0751,3053878.4289,1.08
FET-USDT,SPOT,FET,USDT,,1,0.001,0.0001,0.6683,2639029.681,0.67
FIL-USDT,SPOT,FIL,USDT,,0.1,0.000001,0.001,2.397,3247501.968403,0.24
FLM-USDT,SPOT,FLM,USDT,,100,0.000001,0.00001,0.03039,6005448.665139,3.04
FLOW-USDT,SPOT,FLOW,USDT,,1,0.000001,0.0001,0.373,1136893.719473,0.37
FLOKI-USDT,SPOT,FLOKI,USDT,,10000,1,0.00000001,0.00010041,6919582296,1.00
FLR-USDT,SPOT,FLR,USDT,,100,0.01,0.00001,0.02346,48497649.17,2.35
FLUID-USDT,SPOT,FLUID,USDT,,1,0.001,0.001,6.73,61015.011,6.73
FORTH-USDT,SPOT,FORTH,USDT,,1,0.000001,0.001,2.733,38230.664818,2.73
FOXY-USDT,SPOT,FOXY,USDT,,100,0.01,0.000001,0.003252,51401473.89,0.33
FXS-USDT,SPOT,FXS,USDT,,1,0.0001,0.001,2.787,46586.6195,2.79
G-USDT,SPOT,G,USDT,,100,0.1,0.00001,0.01151,4037060.1,1.15
